Unnamed: 0,Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,New_Price,Price,brand_name,Mileage_upd,Engine_upd,Power_upd,Year_upd
0,Mumbai,72000,CNG,Manual,First,5.0,,1.75,Maruti,26.6,998.0,58.16,9
1,Pune,41000,Diesel,Manual,First,5.0,,12.5,Hyundai,19.67,1582.0,126.2,4
2,Chennai,46000,Petrol,Manual,First,5.0,8.61 Lakh,4.5,Honda,18.2,1199.0,88.7,8
3,Chennai,87000,Diesel,Manual,First,7.0,,6.0,Maruti,20.77,1248.0,88.76,7
4,Coimbatore,40670,Diesel,Automatic,Second,5.0,,17.74,Audi,15.2,1968.0,140.8,6
5,Hyderabad,75000,LPG,Manual,First,5.0,,2.35,Hyundai,21.1,814.0,55.2,7
6,Jaipur,86999,Diesel,Manual,First,5.0,,3.5,Nissan,23.08,1461.0,63.1,6
7,Mumbai,36000,Diesel,Automatic,First,8.0,21 Lakh,17.5,Toyota,11.36,2755.0,171.5,3
8,Pune,64430,Diesel,Manual,First,5.0,,5.2,Volkswagen,20.54,1598.0,103.6,6
9,Chennai,65932,Diesel,Manual,Second,5.0,,1.95,Tata,22.3,1248.0,74.0,7
10,Kochi,25692,Petrol,Manual,First,5.0,10.65 Lakh,9.95,Maruti,21.56,1462.0,103.25,1
11,Kolkata,60000,Petrol,Automatic,First,5.0,,4.49,Honda,16.8,1497.0,116.3,7
12,Jaipur,64424,Diesel,Manual,First,5.0,,5.6,Maruti,25.2,1248.0,74.0,4
13,Delhi,72000,Diesel,Automatic,First,5.0,,27.0,Land,12.7,2179.0,187.7,5
14,Pune,85000,Diesel,Automatic,Second,5.0,,17.5,Land,12.7,2179.0,115.0,7
15,Delhi,110000,Diesel,Manual,First,7.0,32.01 Lakh,15.0,Mitsubishi,13.5,2477.0,175.56,5
16,Kochi,58950,Diesel,Manual,First,5.0,,5.4,Honda,25.8,1498.0,98.6,3
17,Jaipur,25000,Diesel,Manual,First,5.0,,5.99,Maruti,28.4,1248.0,74.0,2
18,Kochi,77469,Diesel,Manual,First,5.0,,6.34,Renault,20.45,1461.0,83.8,5
